timestamp,correlation_id,request_id,waf_event_id,attack_type,risk_score,risk_level,confidence,action,detection_method,request_component,mitigation
2026-09-01T00:22:48.393153+05:30,3d77fbc3-ce50-4421-a72d-d0fc783d93c7,856,,,0,Safe,0.0,allowed,hybrid,,
2026-09-01T00:22:48.351293+05:30,c4e9a0d9-59cb-48c8-bc19-64f5e20c8d53,855,,SQL Injection,100,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-09-01T00:22:48.322018+05:30,a4c65c07-b9ff-4927-b3db-55cc21343d6d,854,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-09-01T00:22:38.716963+05:30,21c349fb-fcbd-4e06-a836-c05eaf923973,852,,Prompt Injection,96,Critical,0.95,blocked,ml,,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-09-01T00:22:38.684081+05:30,873caf35-2a2d-4225-9891-1131f6d07533,851,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-09-01T00:22:26.251613+05:30,b2c8f2dd-88ce-46ac-8df4-ac07bb204248,849,76,Prompt Injection,86,Critical,0.91,blocked,hybrid,body.prompt,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-09-01T00:20:12.138398+05:30,0b7e9c3a-88f2-4ccf-a05c-d8faea221029,847,74,Prompt Injection,50,Medium,0.75,blocked,ml,header.user-agent,Validate and isolate untrusted input before processing.
2026-09-01T00:20:12.138297+05:30,0b7e9c3a-88f2-4ccf-a05c-d8faea221029,847,74,XSS,95,Critical,1.0,blocked,hybrid,query.q,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-09-01T00:20:12.039619+05:30,dba69c66-a876-4c53-bd91-dfa21e728159,846,73,Prompt Injection,50,Medium,0.75,blocked,ml,header.user-agent,Validate and isolate untrusted input before processing.
2026-09-01T00:20:12.039501+05:30,dba69c66-a876-4c53-bd91-dfa21e728159,846,73,SQL Injection,95,Critical,1.0,blocked,hybrid,query.username,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-09-01T00:19:20.856811+05:30,4542ae04-b071-4e6a-880b-5f11951fc80e,844,,,0,Safe,0.0,allowed,hybrid,,
2026-09-01T00:19:20.823286+05:30,2a3033b4-c54a-4177-84be-b473450959c3,843,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T22:09:01.499776+05:30,fef10a4b-d60d-409a-9ee1-70e0690e8af6,830,63,Prompt Injection,89,Critical,0.94,blocked,hybrid,query.value,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T22:09:01.463472+05:30,ce7ee258-e918-42a6-bec5-bcedf9ff1a91,829,62,XSS,95,Critical,1.0,blocked,hybrid,body.value,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T22:09:01.427666+05:30,6d13dd9c-8941-484b-bc5d-29b5ca8c2ef1,828,61,SQL Injection,95,Critical,1.0,blocked,hybrid,body.value,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
